Country,State,Confirmed,Deaths,Recovered,Date
France,New York,10972.0,,25646.0,2022-02-25
Mexico,Maharashtra,34351.0,1416.0,55532.0,2022-01-08
Mexico,Moscow,37145.0,1251.0,43187.0,2021-04-04
Mexico,Berlin,88948.0,3143.0,46603.0,2022-08-07
United Kingdom,Texas,90614.0,808.0,22476.0,2020-11-20
Brazil,Moscow,89116.0,1533.0,63363.0,2021-06-05
France,California,57235.0,4117.0,1091.0,2021-05-03
Spain,Moscow,15855.0,4938.0,6777.0,2022-07-17
United States,Berlin,37169.0,2898.0,62360.0,2021-01-31
United States,Texas,47404.0,2700.0,2760.0,2022-06-14
Italy,London,20569.0,4101.0,66383.0,2020-12-20
France,California,,1251.0,25241.0,2022-08-04
France,Karnataka,,,37711.0,2020-10-14
United States,California,26738.0,537.0,42042.0,2021-04-03
Germany,New York,7772.0,1505.0,7369.0,2021-09-15
United States,Karnataka,91410.0,3835.0,65232.0,2022-09-24
France,New York,20731.0,2903.0,,2021-06-19
Mexico,Berlin,11131.0,902.0,36113.0,2020-10-17
Germany,Maharashtra,67324.0,396.0,57516.0,2022-04-30
Russia,Texas,55097.0,1259.0,60610.0,2022-04-17
Spain,Florida,82720.0,2538.0,34533.0,2020-06-16
United Kingdom,London,97433.0,4513.0,45713.0,2022-08-07
Brazil,Florida,3889.0,,62493.0,2021-09-12
Russia,Paris,10569.0,907.0,13438.0,2021-03-03
India,Paris,88193.0,720.0,2774.0,2021-12-02
United States,Berlin,76677.0,3705.0,32315.0,2021-05-04
Spain,Maharashtra,86192.0,2696.0,19461.0,2020-12-20
United States,Paris,88154.0,4522.0,20544.0,2020-07-14
United States,California,78470.0,,22475.0,2021-06-28
Russia,Moscow,,1481.0,15206.0,2021-12-17
Mexico,New York,8612.0,4190.0,6474.0,2022-04-03
Mexico,Paris,52644.0,4272.0,21713.0,2022-07-20
United Kingdom,Berlin,33069.0,2441.0,2450.0,2021-11-24
Germany,New York,,2525.0,10911.0,2021-10-20
United States,California,28331.0,1105.0,46656.0,2022-07-27
Italy,Maharashtra,56897.0,819.0,63244.0,2022-02-18
Mexico,Texas,14934.0,,18271.0,2020-01-11
France,Florida,11095.0,1002.0,35553.0,2021-08-04
Spain,California,92494.0,1291.0,,2020-09-12
Italy,London,19706.0,4380.0,7545.0,2021-01-30
Russia,Karnataka,44516.0,1783.0,58123.0,2021-12-31
Russia,Berlin,98008.0,,30214.0,2022-03-19
United Kingdom,Florida,35629.0,3826.0,34886.0,2021-02-12
United Kingdom,London,47910.0,1766.0,9062.0,2020-12-27
Germany,Texas,89540.0,2383.0,55548.0,2020-09-15
France,London,21431.0,2586.0,12526.0,2020-01-03
Spain,Maharashtra,57733.0,,32089.0,2020-03-24
France,Karnataka,41088.0,4194.0,,2020-06-04
India,New York,45135.0,717.0,23947.0,2021-10-24
United Kingdom,Florida,39015.0,2407.0,55208.0,2020-06-24
Germany,Karnataka,32385.0,4492.0,64425.0,2021-12-07
Brazil,Moscow,71199.0,2144.0,52074.0,2022-07-26
United States,California,39677.0,,19312.0,2021-04-16
United States,Moscow,13818.0,,55809.0,2021-09-10
Brazil,California,89222.0,986.0,64730.0,2021-02-27
Mexico,Maharashtra,64001.0,744.0,42128.0,2020-05-13
France,Karnataka,24977.0,,41081.0,2022-02-26
Brazil,Texas,50832.0,2550.0,47128.0,2022-06-25
Germany,Paris,41931.0,642.0,25605.0,2022-05-13
Spain,London,,,69657.0,2021-01-14
Brazil,Paris,79894.0,4109.0,32942.0,2021-10-28
Germany,Karnataka,73204.0,2911.0,2847.0,2020-10-03
United Kingdom,Moscow,46784.0,1673.0,,2020-08-23
Italy,Paris,10921.0,2025.0,17610.0,2022-01-21
Russia,Berlin,35959.0,3191.0,62670.0,2022-05-31
Russia,Paris,33328.0,4073.0,5423.0,2020-01-13
India,California,9859.0,2640.0,,2020-12-07
France,Berlin,90506.0,3882.0,63271.0,2020-02-04
Spain,Florida,75408.0,1064.0,48635.0,2021-07-12
Italy,Paris,85766.0,390.0,19699.0,2020-08-01
Italy,Berlin,27708.0,,9566.0,2021-02-15
United Kingdom,Karnataka,19847.0,2401.0,52636.0,2021-02-08
Brazil,London,56989.0,1602.0,37075.0,2021-05-08
France,Florida,93641.0,4271.0,47233.0,2021-10-19
United States,Texas,5922.0,,17491.0,2020-06-07
Italy,Texas,70928.0,2399.0,23053.0,2022-08-13
Germany,Maharashtra,,3563.0,1134.0,2021-09-28
United States,Paris,14541.0,3037.0,13271.0,2020-04-19
India,London,20551.0,1217.0,18798.0,2021-07-02
Brazil,New York,20381.0,3863.0,36499.0,2022-02-27
Brazil,Berlin,56673.0,554.0,60148.0,2021-06-09
Spain,Florida,23948.0,3091.0,,2022-09-11
Italy,Karnataka,93264.0,3673.0,69874.0,2020-12-12
United Kingdom,Paris,60072.0,2249.0,68009.0,2022-01-13
Mexico,Karnataka,68560.0,2377.0,44940.0,2022-04-07
Mexico,New York,83249.0,3783.0,32155.0,2021-09-27
Russia,Maharashtra,3486.0,2637.0,43539.0,2020-10-05
Germany,New York,67691.0,,55755.0,2021-04-23
United States,California,,2484.0,55489.0,2020-04-20
India,Moscow,851050.0,3140.0,11744.0,2021-09-27
Russia,Florida,8086.0,3517.0,,2022-07-13
Brazil,Moscow,68853.0,106.0,40051.0,2021-03-06
United States,New York,71027.0,3868.0,63730.0,2021-06-25
France,Maharashtra,16916.0,2718.0,,2020-04-24
Italy,Maharashtra,16248.0,3346.0,69858.0,2020-03-30
India,Texas,69047.0,466.0,29378.0,2020-07-30
France,Paris,25226.0,4378.0,36657.0,2021-07-03
United Kingdom,Texas,26025.0,2997.0,,2021-08-17
Italy,Florida,49380.0,4098.0,27680.0,2021-06-22
United States,Florida,8848.0,3894.0,4188.0,2021-12-29
Italy,Florida,15274.0,1041.0,10416.0,2020-12-25
Russia,Karnataka,55545.0,217.0,56863.0,2021-04-30
Spain,Texas,97494.0,1947.0,27860.0,2021-01-06
Russia,Karnataka,36233.0,1156.0,38305.0,2020-08-02
United Kingdom,Moscow,17304.0,4309.0,13953.0,2022-01-02
Germany,Paris,,2574.0,23203.0,2020-01-15
France,New York,27425.0,452.0,59521.0,2022-08-12
Russia,Berlin,,4794.0,,2020-09-15
Spain,Texas,94311.0,842.0,48768.0,2022-02-16
Germany,Berlin,10425.0,1471.0,34748.0,2021-04-07
Russia,Maharashtra,92549.0,3526.0,,2020-04-29
Brazil,Texas,,1169.0,42539.0,2022-09-02
Spain,Moscow,45990.0,396.0,48300.0,2022-07-01
France,Texas,74746.0,2051.0,41261.0,2020-05-07
India,Karnataka,69295.0,2563.0,44163.0,2021-12-23
Mexico,Paris,17091.0,1728.0,40912.0,2021-06-06
Germany,New York,1002.0,,35867.0,2021-11-18
Brazil,London,51411.0,4060.0,6313.0,2021-10-06
India,New York,41958.0,3419.0,60394.0,2020-11-20
United States,New York,96696.0,699.0,51944.0,2020-11-15
Spain,Maharashtra,,1179.0,34769.0,2021-05-20
Brazil,Moscow,16248.0,4998.0,62248.0,2021-06-09
Italy,Berlin,72309.0,962.0,,2020-02-19
United States,Moscow,79322.0,4889.0,40818.0,2022-07-10
United States,London,52720.0,4600.0,37518.0,2021-08-06
Germany,Maharashtra,16037.0,3506.0,40259.0,2020-03-09
Spain,Paris,68421.0,3927.0,16998.0,2021-01-25
Brazil,New York,82867.0,4852.0,26489.0,2021-01-17
United Kingdom,Karnataka,41612.0,2494.0,26068.0,2020-01-16
Brazil,Maharashtra,89031.0,1864.0,67077.0,2021-03-14
Russia,Florida,14450.0,3449.0,30599.0,2022-04-25
United States,Texas,10491.0,3241.0,41139.0,2022-05-18
France,Moscow,,2607.0,23982.0,2021-07-21
United States,Maharashtra,94293.0,3993.0,69712.0,2021-09-08
United States,Florida,7791.0,2201.0,55761.0,2020-05-11
Mexico,Berlin,29314.0,2645.0,30548.0,2022-09-22
Italy,London,52883.0,,3565.0,2021-07-13
United Kingdom,London,95119.0,3822.0,2536.0,2020-09-04
India,New York,88086.0,3350.0,36314.0,2020-09-29
India,New York,66629.0,3921.0,60194.0,2021-09-14
Italy,Maharashtra,,1806.0,17424.0,2022-07-20
United States,Maharashtra,82754.0,4373.0,60704.0,2022-04-17
India,Paris,44220.0,1772.0,33344.0,2022-04-27
Spain,Texas,75163.0,4482.0,22018.0,2020-12-14
United Kingdom,California,5947.0,3295.0,17559.0,2021-04-28
India,Berlin,40419.0,1595.0,23552.0,2021-07-03
Italy,New York,,3573.0,9180.0,2020-12-22
Russia,California,89714.0,,67521.0,2022-01-21
India,California,29876.0,,20543.0,2020-11-13
United Kingdom,Texas,89444.0,,2919.0,2021-09-24
Germany,Karnataka,20971.0,3110.0,57392.0,2020-02-17
Germany,Karnataka,63539.0,3254.0,17640.0,2020-01-10
Spain,New York,99120.0,1050.0,43984.0,2020-08-20
Brazil,Florida,50228.0,3137.0,,2020-02-05
Brazil,Texas,75495.0,,45710.0,2021-02-16
India,Texas,29261.0,3639.0,58100.0,2021-04-06
France,Moscow,62260.0,2124.0,,2020-01-04
Russia,California,82371.0,1687.0,61192.0,2020-02-13
Italy,Moscow,85793.0,3104.0,62612.0,2021-07-21
Russia,California,4346.0,1008.0,31610.0,2021-07-07
Germany,Karnataka,97343.0,2294.0,16860.0,2020-09-11
India,New York,96954.0,,49910.0,2022-01-09
United Kingdom,Berlin,57176.0,1171.0,3517.0,2020-04-23
Italy,Karnataka,,2530.0,60624.0,2022-01-18
Russia,Texas,12340.0,3865.0,51449.0,2021-01-31
United Kingdom,Berlin,340120.0,,58768.0,2020-06-22
Italy,Maharashtra,36393.0,704.0,66820.0,2020-09-11
Russia,Berlin,76133.0,4422.0,31627.0,2021-04-10
Spain,Berlin,26557.0,,3696.0,2022-07-17
Germany,Karnataka,65204.0,3808.0,41800.0,2020-10-03
United States,Texas,74273.0,3693.0,50214.0,2021-04-08
Italy,Berlin,18276.0,1981.0,32421.0,2022-04-26
Germany,Karnataka,55639.0,1513.0,5246.0,2021-05-16
Mexico,Karnataka,8310.0,3259.0,69035.0,2021-03-16
France,Berlin,36167.0,4228.0,65850.0,2020-03-09
India,California,85880.0,3252.0,50845.0,2021-05-23
Mexico,Texas,11391.0,,49720.0,2020-11-21
United Kingdom,London,51621.0,1681.0,22563.0,2022-01-11
Italy,Berlin,11892.0,1092.0,46471.0,2020-03-07
India,Moscow,77733.0,1738.0,4098.0,2020-10-30
India,Moscow,79586.0,3861.0,11064.0,2022-08-29
Mexico,Maharashtra,37142.0,2152.0,50225.0,2021-04-28
Mexico,Texas,46679.0,,60440.0,2022-07-17
United States,Karnataka,,263.0,62585.0,2021-07-01
Russia,Paris,,4112.0,18362.0,2021-02-20
Italy,New York,80071.0,3552.0,10765.0,2020-06-07
Germany,Florida,42002.0,2785.0,10205.0,2020-05-28
Brazil,Paris,71658.0,4647.0,55779.0,2020-01-27
Italy,Texas,10852.0,3343.0,62971.0,2022-09-13
Italy,Texas,6387.0,4194.0,63479.0,2021-08-06
Italy,Berlin,98295.0,3289.0,56328.0,2020-09-04
India,Berlin,40994.0,4318.0,46604.0,2020-04-10
United Kingdom,Paris,34725.0,2891.0,41434.0,2021-12-02
India,Karnataka,73682.0,275.0,6550.0,2020-04-05
United Kingdom,Maharashtra,1560.0,2350.0,44452.0,2021-01-18
Mexico,Berlin,575650.0,3158.0,8984.0,2020-10-08
Brazil,Florida,2312.0,,63148.0,2020-11-17
India,Florida,19205.0,1014.0,60445.0,2021-01-30
United Kingdom,Maharashtra,,2104.0,54178.0,2020-10-04
India,California,88566.0,,,2021-06-12
France,California,22329.0,3281.0,35861.0,2020-09-19
India,Texas,69187.0,4532.0,10815.0,2021-09-10
Brazil,Berlin,76542.0,219.0,48468.0,2021-08-02
Brazil,Moscow,36645.0,897.0,27019.0,2021-10-01
United Kingdom,Paris,88502.0,163.0,9607.0,2020-10-19
United Kingdom,London,94382.0,3603.0,56281.0,2020-10-20
Mexico,Maharashtra,88310.0,,4369.0,2021-08-30
Brazil,Texas,,3434.0,27870.0,2021-01-29
Brazil,Moscow,34513.0,1294.0,63195.0,2021-05-27
United States,Berlin,,3158.0,60922.0,2022-07-09
Italy,Moscow,31783.0,778.0,8471.0,2022-03-20
Spain,Moscow,61645.0,992.0,26151.0,2020-06-28
India,Maharashtra,,3212.0,57474.0,2022-07-08
Russia,Texas,54175.0,4684.0,,2021-11-23
Mexico,Karnataka,85216.0,3536.0,38608.0,2020-08-22
Italy,Florida,63709.0,2797.0,4323.0,2022-08-09
Spain,Paris,18323.0,2220.0,13954.0,2022-04-10
United States,Texas,51762.0,1048.0,4432.0,2020-12-02
Russia,London,89220.0,3942.0,,2020-01-08
United Kingdom,Moscow,65222.0,551.0,68465.0,2021-03-18
Brazil,Karnataka,35493.0,368.0,28708.0,2022-07-29
France,Maharashtra,59328.0,859.0,,2021-06-22
Mexico,New York,13213.0,4532.0,44545.0,2022-03-30
Germany,Paris,98367.0,2554.0,11037.0,2021-10-19
Brazil,Paris,47930.0,4591.0,69634.0,2020-03-31
France,Florida,28713.0,1841.0,14282.0,2022-05-03
Spain,New York,73723.0,1482.0,66087.0,2020-09-28
United Kingdom,Berlin,99336.0,1446.0,22572.0,2022-04-13
Russia,New York,33583.0,339.0,46202.0,2020-01-05
Spain,Moscow,80944.0,4364.0,6557.0,2021-08-16
Brazil,Moscow,23369.0,4248.0,31416.0,2022-06-17
Brazil,Moscow,48928.0,4018.0,27768.0,2020-08-06
Russia,Moscow,69950.0,4732.0,44478.0,2020-04-27
Germany,Texas,20510.0,1398.0,23759.0,2021-08-15
France,Paris,13120.0,4195.0,,2022-09-02
Spain,New York,99575.0,729.0,34793.0,2021-08-04
United Kingdom,Paris,6295.0,3245.0,7543.0,2020-04-24
Brazil,London,21460.0,4586.0,50930.0,2020-09-19
Spain,New York,15963.0,2141.0,,2020-11-01
Germany,Texas,78116.0,,41142.0,2021-10-15
Spain,London,88822.0,682.0,31368.0,2021-02-25
Russia,Paris,28328.0,526.0,26809.0,2022-09-26
United Kingdom,London,85629.0,,23784.0,2020-07-25
United States,Florida,,3680.0,69500.0,2021-09-14
Russia,London,45813.0,791.0,62607.0,2020-10-29
Spain,New York,47371.0,3533.0,65549.0,2020-04-21
United States,Moscow,48598.0,3568.0,29765.0,2021-02-20
Brazil,Moscow,61776.0,2396.0,24380.0,2021-07-08
United States,Berlin,73258.0,4792.0,755.0,2022-05-08
Germany,Paris,41969.0,1599.0,2002.0,2020-10-11
India,Florida,379120.0,1511.0,,2021-10-01
Germany,New York,39374.0,3804.0,41866.0,2020-07-03
Russia,New York,73302.0,4328.0,27925.0,2022-01-10
India,Maharashtra,63784.0,3090.0,52828.0,2022-06-19
Russia,California,50882.0,1086.0,67896.0,2020-08-08
Mexico,Paris,16928.0,,6306.0,2022-05-13
United Kingdom,New York,22274.0,512.0,17606.0,2021-03-19
Italy,Karnataka,35416.0,1349.0,57231.0,2020-04-26
Brazil,New York,87148.0,3895.0,33099.0,2020-03-10
Brazil,Maharashtra,61998.0,633.0,9504.0,2022-06-16
Mexico,London,30047.0,1896.0,51864.0,2020-03-10
Spain,Texas,44356.0,3360.0,26292.0,2021-09-13
France,Texas,38134.0,1060.0,65412.0,2021-03-02
Russia,Karnataka,68042.0,3782.0,55145.0,2021-10-05
Italy,Karnataka,52310.0,3926.0,7732.0,2021-07-21
Italy,Berlin,,4028.0,,2022-09-15
Germany,Texas,13363.0,1339.0,49042.0,2021-03-18
Germany,London,86149.0,,6413.0,2021-08-23
France,Texas,45563.0,3377.0,11067.0,2020-05-16
Spain,California,31628.0,3961.0,38879.0,2021-05-18
Mexico,Paris,70672.0,2507.0,819.0,2020-05-10
United States,Texas,47246.0,1583.0,5291.0,2020-08-05
Germany,Moscow,12161.0,2644.0,829.0,2021-11-18
Spain,Berlin,,2778.0,61532.0,2020-06-19
United Kingdom,Maharashtra,,1221.0,44578.0,2021-04-19
Brazil,Karnataka,,785.0,21800.0,2021-09-03
Brazil,California,60860.0,1170.0,51445.0,2022-09-18
Spain,Karnataka,78199.0,2393.0,56109.0,2020-05-08
France,Berlin,72688.0,2664.0,61062.0,2020-02-26
Mexico,New York,66548.0,3550.0,62401.0,2020-06-29
Italy,California,63363.0,4707.0,,2020-09-02
France,Florida,12162.0,4645.0,63615.0,2020-05-23
Spain,California,88858.0,1105.0,28176.0,2020-02-20
Mexico,Berlin,74535.0,33.0,62210.0,2021-01-02
Mexico,Maharashtra,8219.0,4729.0,60577.0,2021-04-03
Russia,California,71864.0,3566.0,45940.0,2020-08-05
India,Berlin,4621.0,1089.0,37423.0,2021-09-07
Brazil,London,90792.0,4328.0,30302.0,2022-06-13
Spain,Paris,,188.0,63404.0,2021-07-20
Italy,Texas,77850.0,2857.0,60662.0,2020-09-13
India,London,,1970.0,65669.0,2022-05-07
United Kingdom,Berlin,55951.0,1483.0,68647.0,2020-06-04
Germany,Moscow,82718.0,,22575.0,2021-07-18
Russia,New York,37558.0,,9804.0,2021-03-17
Germany,Texas,16659.0,1222.0,60122.0,2022-04-20
India,Moscow,35413.0,819.0,54715.0,2022-08-13
India,Maharashtra,11435.0,429.0,13021.0,2021-11-29
Germany,Karnataka,54911.0,3669.0,24528.0,2022-05-25
Italy,Florida,29067.0,3826.0,39828.0,2021-10-23
Italy,Texas,88794.0,1288.0,27801.0,2022-02-14
United States,London,94823.0,2533.0,38515.0,2022-01-31
United Kingdom,New York,70224.0,1450.0,37345.0,2022-08-02
Italy,Moscow,74225.0,1350.0,,2022-03-20
United Kingdom,Berlin,2379.0,2231.0,44214.0,2022-07-11
United Kingdom,Texas,28624.0,2402.0,25730.0,2022-07-23
India,Karnataka,92500.0,,49762.0,2021-12-23
United Kingdom,Berlin,89427.0,601.0,42222.0,2020-01-25
Russia,Moscow,58745.0,536.0,46859.0,2022-03-16
Germany,New York,52805.0,,63296.0,2022-05-02
United States,California,13516.0,1302.0,40659.0,2021-10-25
Spain,Karnataka,80422.0,1664.0,,2021-06-19
France,Berlin,86843.0,4916.0,,2022-02-02
United States,Karnataka,25843.0,197.0,,2020-02-29
Russia,Maharashtra,6912.0,2768.0,35174.0,2021-04-11
United States,Berlin,22514.0,538.0,18605.0,2021-03-09
United Kingdom,Texas,88359.0,443.0,30239.0,2022-05-28
India,California,,3522.0,32469.0,2020-03-06
France,California,29797.0,1814.0,14997.0,2022-06-28
Italy,Florida,7449.0,312.0,2316.0,2021-07-18
India,Karnataka,2725.0,4192.0,59754.0,2022-07-16
United Kingdom,London,,447.0,69885.0,2020-04-15
United Kingdom,California,10304.0,2598.0,34326.0,2020-04-05
France,California,74058.0,842.0,63865.0,2022-09-14
France,Maharashtra,14663.0,806.0,,2021-11-18
Brazil,Paris,71320.0,569.0,4859.0,2021-07-04
